Sample ID,Type,Standoff,Spacing,AI,AV
DG-PCB001,both-away,7.5,step,-7.09e-10,-20.5
DG-PCB001,both-away,7.5,step,-7.38e-10,-21.0
DG-PCB001,both-away,7.5,step,-7.6e-10,-21.5
DG-PCB001,both-away,7.5,step,-7.87e-10,-22.0
DG-PCB001,both-away,7.5,step,-8.18e-10,-22.5
DG-PCB001,both-away,7.5,step,-8.32e-10,-23.0
DG-PCB001,both-away,7.5,step,-8.51e-10,-23.5
DG-PCB001,both-away,7.5,step,-8.81e-10,-24.0
DG-PCB001,both-away,7.5,step,-9.13e-10,-24.5
DG-PCB001,both-away,7.5,step,-9.51e-10,-25.0
DG-PCB001,both-away,7.5,step,-9.71e-10,-25.5
DG-PCB001,both-away,7.5,step,-9.98e-10,-26.0
DG-PCB001,both-away,7.5,step,-1.02e-09,-26.5
DG-PCB001,both-away,7.5,step,-1.06e-09,-27.0
DG-PCB001,both-away,7.5,step,-1.09e-09,-27.5
DG-PCB001,both-away,7.5,step,-1.12e-09,-28.0
DG-PCB001,both-away,7.5,step,-1.15e-09,-28.5
DG-PCB001,both-away,7.5,step,-1.18e-09,-29.0
DG-PCB001,both-away,7.5,step,-1.22e-09,-29.5
DG-PCB001,both-away,7.5,step,-1.26e-09,-30.0
DG-PCB001,both-rad,7.5,step,-1.46e-09,-30.0
DG-PCB001,both-rad,7.5,step,-1.4e-09,-29.5
DG-PCB001,both-rad,7.5,step,-1.35e-09,-29.0
DG-PCB001,both-rad,7.5,step,-1.29e-09,-28.5
DG-PCB001,both-rad,7.5,step,-1.24e-09,-28.0
DG-PCB001,both-rad,7.5,step,-1.19e-09,-27.5
DG-PCB001,both-rad,7.5,step,-1.16e-09,-27.0
DG-PCB001,both-rad,7.5,step,-1.11e-09,-26.5
DG-PCB001,both-rad,7.5,step,-1.07e-09,-26.0
DG-PCB001,both-rad,7.5,step,-1.04e-09,-25.5
DG-PCB001,both-rad,7.5,step,-1e-09,-25.0
DG-PCB001,both-rad,7.5,step,-9.58e-10,-24.5
DG-PCB001,both-rad,7.5,step,-9.19e-10,-24.0
DG-PCB001,both-rad,7.5,step,-8.91e-10,-23.5
DG-PCB001,both-rad,7.5,step,-8.58e-10,-23.0
DG-PCB001,both-rad,7.5,step,-8.21e-10,-22.5
DG-PCB001,both-rad,7.5,step,-8e-10,-22.0
DG-PCB001,both-rad,7.5,step,-7.68e-10,-21.5
DG-PCB001,both-rad,7.5,step,-7.34e-10,-21.0
DG-PCB001,both-rad,7.5,step,-7.12e-10,-20.5
